Scalar Compile: 
Stride  GFLOP/s     Time(ms)
1  	    2.472447    0.848209
2       3.258977    0.321750
4       2.672103    0.196208
8       1.727951    0.151708
16      0.947223    0.138375
32      0.847452    0.077333
64      0.548418    0.059750
        
SIMD Compile:
Stride  GFLOP/s     Time(ms)
1       2.403497    0.872542
2       3.258552    0.321792
4       2.682356    0.195458
8       2.313042    0.113333
16      1.254278    0.104500
32      1.027339    0.063792
64      0.838421    0.039083
